iata	aliases
AAC	엘 아리시 국제공항
ABJ	펠릭스 우푸에부아니 국제공항
ABQ	커틀랜드 공군기지 앨버커키 국제공항
ABV	은남디 아지키웨 국제공항
ABZ	애버딘 공항
ACC	코토카 국제공항
ACE	란사로테 공항
ACH	장크트갈렌-알텐라인 공항
ACY	애틀랜틱시티 국제공항
ADB	이즈미르 아드난 멘데레스 공항
ADD	볼레 국제공항
ADE	아덴 국제공항
ADL	애들레이드 공항
AEP	호르헤 뉴베리 공항
AER	소치 국제공항
AGP	말라가 코스타델솔 공항
AJA	아작시오 나폴레옹 보나파르트 공항
AJL	렝푸이 공항
AKJ	아사히카와 공항
AKL	오클랜드 오클랜드 국제공항
ALA	알마티 국제공항
ALB	올버니 국제공항
ALC	알리칸테 엘체 공항
ALG	우아리 부메디엔 공항
ALP	알레포 국제공항
AMD	사다르 발라바이 파텔 국제공항
AMM	퀸 알리아 국제공항
AMS	암스테르담 스히폴 국제공항
ANC	앵커리지 공항
ANR	앤트워프 국제공항
AOJ	아오모리 공항
APW	팔레올로 국제공항
ARN	스톡홀름 스톡홀름 알란다 공항
ASB	아시가바트 공항
ASJ	아마미 공항
ASM	아스마라 국제공항
ASP	앨리스 스프링스 공항
ASR	에르킬레트 공항
ASU	실비오 페티로시 국제공항
ATH	아테네 아테네 국제공항
ATL	애틀랜타 하츠필드 잭슨 애틀랜타 국제공항
ATQ	스리 구루 람 다스 지 국제공항
ATY	워터타운 지역공항
AUA	퀸 베아트릭스 국제공항
AUH	아부다비 아부다비 국제공항
AUS	오스틴 버그스트롬 국제공항
AVV	아발론 공항
AXF	아라산 좌기 바옌하오터 공항
AXJ	아마쿠사 비행장
AXT	아키타 공항
AYT	안탈리아 공항
BAH	바레인 국제공항
BAL	바트만 공항
BBU	아우렐블라이쿠 국제공항
BCD	바콜로드 실라이 국제공항
BCN	바르셀로나 바르셀로나 엘프라트 공항
BDA	L.F. 웨이드 국제공항
BDL	브래들리 국제공항
BEG	베오그라드 국제공항
