iata	size	name	municipality	country	lat	lon
WKK	M	Aleknagik / New Airport	Aleknagik	US	59.2826	-158.6180
BBQ	M	Burton-Nibbs International Airport	Codrington	AG	17.6212	-61.7983
HIR	L	Honiara International Airport	Honiara	SB	-9.4280	160.0550
MUA	M	Munda Airport	Munda	SB	-8.3280	157.2630
INU	M	Nauru International Airport	Yaren	NR	-0.5479	166.9195
AXF	M	Alxa Left Banner Bayanhot Airport	Bayanhot	CN	38.7483	105.5842
VMU	M	Baimuru Airport	Baimuru	PG	-7.4970	144.8218
BUA	M	Buka Airport	Buka Island	PG	-5.4223	154.6727
OPU	M	Balimo Airport	Balimo	PG	-8.0500	142.9330
CMU	M	Chimbu Airport	Kundiawa	PG	-6.0243	144.9710
DAU	M	Daru Airport	Daru	PG	-9.0868	143.2080
GKA	M	Goroka Airport	Goronka	PG	-6.0817	145.3920
GUR	M	Gurney Airport	Gurney	PG	-10.3115	150.3340
PNP	M	Girua Airport	Popondetta	PG	-8.8045	148.3090
HKN	M	Hoskins Airport	Kimbe	PG	-5.4638	150.4073
KMA	M	Kerema Airport	Kerema	PG	-7.9636	145.7710
KVG	M	Kavieng Airport	Kavieng	PG	-2.5794	150.8080
MAG	M	Madang Airport	Madang	PG	-5.2071	145.7890
HGU	M	Mount Hagen Kagamuga Airport	Mount Hagen	PG	-5.8282	144.2994
MDU	M	Mendi Airport	Mendi	PG	-6.1477	143.6570
MAS	M	Momote Airport	Manus Island	PG	-2.0619	147.4240
LAE	L	Nadzab Tomodachi International Airport	Lae	PG	-6.5680	146.7265
POM	L	Port Moresby Jacksons International Airport	Port Moresby	PG	-9.4434	147.2200
RAB	M	Tokua Airport	Kokopo	PG	-4.3405	152.3800
VAI	M	Vanimo Airport	Vanimo	PG	-2.6926	141.3028
WBM	M	Wapenamanda Airport	Wapenamanda	PG	-5.6353	143.8922
WWK	M	Wewak International Airport	Wewak	PG	-3.5838	143.6690
JEG	M	Aasiaat Airport	Aasiaat	GL	68.7218	-52.7847
CNP	M	Neerlerit Inaat Airport	Neerlerit Inaat	GL	70.7431	-22.6505
GOH	L	Nuuk International Airport	Nuuk	GL	64.1911	-51.6791
JAV	M	Ilulissat Airport	Ilulissat	GL	69.2432	-51.0571
KUS	M	Kulusuk Airport	Kulusuk	GL	65.5736	-37.1236
NAQ	M	Qaanaaq Airport	Qaanaaq	GL	77.4886	-69.3887
SFJ	M	Kangerlussuaq International Airport	Kangerlussuaq	GL	67.0104	-50.7153
JHS	M	Sisimiut Airport	Sisimiut	GL	66.9513	-53.7293
THU	M	Pituffik Space Base	Pituffik	GL	76.5306	-68.7005
AEY	L	Akureyri International Airport	Akureyri	IS	65.6566	-18.0720
EGS	M	Egilsstaðir Airport	Egilsstaðir	IS	65.2833	-14.4014
GRY	M	Grímsey Airport	Grímsey/Sandvík	IS	66.5458	-18.0173
HFN	M	Hornafjörður Airport	Höfn	IS	64.2956	-15.2272
